Name,Type,Value_0,Value_1,Value_2,Value_3,Value_4,Threshold,Value_5,Value_6,Value_7,Value_8,Value_9,Value_10,Value_11,Value_12,Value_13,Value_14,Value_15,Value_16,Value_17,Value_18,Value_19,Value_20,Value_21,Value_22,Value_23,Value_24,Value_25,Value_26,Value_27,Value_28,Value_29,Value_30,Value_31,Value_32,Value_33,Value_34,Value_35,Value_36,Value_37,Value_38,Value_39,Value_40,Value_41,Value_42,Value_43,Value_44,Value_45,Value_46,Value_47,Value_48,Value_49
List_243,sumList,93,64.0,41.0,87.0,4.0,13.072431498268486,27.0,89.0,48.0,6.0,20.0,70.0,18.0,92.0,98.0,94.0,29.0,83.0,61.0,74.0,84.0,38.0,60.0,36.0,89.0,2.0,12.0,83.0,50.0,56.0,52.0,42.0,60.0,61.0,31.0,95.0,35.0,,,,,,,,,,,,,,
List_244,sumList,87,1.0,77.0,33.0,94.0,2958.032437595463,75.0,45.0,3.0,6.0,26.0,4.0,59.0,10.0,98.0,100.0,73.0,54.0,70.0,7.0,50.0,7.0,24.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_245,sumList,13,99.0,73.0,34.0,11.0,49.906701009682685,44.0,37.0,98.0,77.0,61.0,45.0,38.0,39.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_246,stdList,78,80.0,84.0,100.0,63.0,13.621025028511593,75.0,56.0,83.0,34.0,12.0,76.0,31.0,61.0,78.0,34.0,95.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_247,meanList,61,58.0,8.0,96.0,44.0,-4.238857203473351,9.0,82.0,29.0,34.0,34.0,86.0,35.0,91.0,86.0,97.0,14.0,17.0,2.0,12.0,63.0,85.0,17.0,32.0,72.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,
List_248,sumList,43,41.0,80.0,61.0,34.0,37.66490249878844,81.0,69.0,49.0,51.0,22.0,10.0,16.0,67.0,17.0,52.0,94.0,20.0,97.0,45.0,87.0,10.0,1.0,7.0,18.0,39.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,
List_249,sumList,31,87.0,57.0,92.0,59.0,65.39389688239366,48.0,65.0,2.0,87.0,69.0,48.0,2.0,39.0,20.0,7.0,36.0,30.0,32.0,30.0,55.0,19.0,13.0,5.0,58.0,76.0,65.0,4.0,60.0,74.0,95.0,24.0,36.0,14.0,56.0,29.0,51.0,79.0,56.0,88.0,88.0,99.0,,,,,,,,,
List_250,stdList,59,8.0,57.0,88.0,74.0,495.6520523756404,78.0,22.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_251,stdList,37,41.0,29.0,52.0,79.0,-4.543777767333338,66.0,86.0,15.0,38.0,41.0,38.0,31.0,85.0,16.0,60.0,29.0,89.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_252,stdList,45,56.0,3.0,79.0,,28.40129899830738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_253,stdList,67,62.0,55.0,50.0,90.0,45.48288725148247,65.0,25.0,68.0,83.0,87.0,17.0,60.0,22.0,73.0,26.0,97.0,73.0,77.0,61.0,37.0,23.0,36.0,42.0,12.0,93.0,50.0,54.0,92.0,60.0,23.0,29.0,72.0,56.0,77.0,77.0,4.0,26.0,87.0,38.0,19.0,75.0,12.0,,,,,,,,
List_254,stdList,85,51.0,68.0,29.0,25.0,1202.6197075554535,67.0,98.0,68.0,7.0,15.0,94.0,82.0,74.0,23.0,40.0,34.0,87.0,83.0,19.0,2.0,20.0,20.0,17.0,5.0,29.0,3.0,31.0,12.0,18.0,2.0,76.0,16.0,27.0,78.0,39.0,44.0,54.0,83.0,,,,,,,,,,,,
List_255,meanList,41,33.0,38.0,46.0,11.0,-10.134358831927306,28.0,99.0,59.0,8.0,78.0,85.0,28.0,44.0,74.0,57.0,55.0,93.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_256,stdList,69,11.0,66.0,14.0,63.0,-1120.799196582829,30.0,17.0,10.0,19.0,36.0,53.0,68.0,68.0,25.0,43.0,75.0,99.0,16.0,35.0,95.0,57.0,1.0,53.0,97.0,60.0,25.0,64.0,84.0,17.0,54.0,86.0,,,,,,,,,,,,,,,,,,,
List_257,stdList,85,53.0,65.0,57.0,25.0,41.24425636842284,53.0,42.0,14.0,41.0,34.0,30.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_258,stdList,8,96.0,77.0,96.0,3.0,1.6517318433673511,34.0,78.0,59.0,27.0,58.0,1.0,26.0,42.0,77.0,35.0,42.0,32.0,76.0,77.0,80.0,93.0,46.0,56.0,99.0,38.0,69.0,99.0,4.0,25.0,36.0,68.0,9.0,,,,,,,,,,,,,,,,,,
List_259,stdList,76,96.0,7.0,19.0,88.0,114.01804630737259,81.0,68.0,70.0,2.0,2.0,39.0,1.0,38.0,91.0,70.0,2.0,78.0,57.0,18.0,13.0,87.0,29.0,21.0,80.0,100.0,57.0,50.0,70.0,62.0,100.0,36.0,2.0,37.0,81.0,9.0,85.0,78.0,60.0,52.0,15.0,79.0,69.0,24.0,65.0,6.0,4.0,49.0,,,
List_260,stdList,41,9.0,18.0,55.0,86.0,2130.2669508042204,34.0,22.0,88.0,39.0,11.0,36.0,13.0,44.0,82.0,36.0,63.0,26.0,76.0,97.0,46.0,82.0,35.0,62.0,5.0,83.0,76.0,8.0,96.0,63.0,65.0,5.0,50.0,6.0,69.0,21.0,5.0,92.0,97.0,69.0,,,,,,,,,,,
List_261,stdList,25,14.0,1.0,25.0,26.0,655.4725427873042,34.0,1.0,73.0,68.0,57.0,76.0,92.0,13.0,89.0,55.0,33.0,44.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_262,sumList,95,22.0,31.0,67.0,53.0,1073.78317326492,55.0,34.0,50.0,50.0,71.0,97.0,3.0,25.0,7.0,93.0,94.0,13.0,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_263,sumList,3,49.0,9.0,72.0,75.0,1437.7088413071792,84.0,85.0,60.0,11.0,54.0,39.0,81.0,32.0,55.0,39.0,88.0,4.0,23.0,24.0,44.0,73.0,32.0,85.0,41.0,61.0,32.0,6.0,84.0,,,,,,,,,,,,,,,,,,,,,,
List_264,meanList,84,57.0,83.0,,,-4.156882378972631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_265,sumList,11,4.0,56.0,,,-48.29198481426218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_266,sumList,73,72.0,12.0,30.0,5.0,1.742831258831386,91.0,46.0,6.0,15.0,83.0,53.0,89.0,60.0,50.0,77.0,55.0,22.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_267,stdList,74,23.0,27.0,44.0,48.0,4.53173451673384,50.0,72.0,57.0,67.0,7.0,7.0,83.0,17.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_268,sumList,17,59.0,60.0,69.0,37.0,7.434751098740972,64.0,89.0,30.0,11.0,99.0,100.0,49.0,50.0,79.0,85.0,85.0,4.0,89.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_269,meanList,21,53.0,60.0,30.0,55.0,11.44620400680773,26.0,78.0,83.0,98.0,1.0,59.0,46.0,12.0,31.0,99.0,50.0,26.0,10.0,77.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_270,sumList,79,55.0,56.0,76.0,75.0,38.88234320628236,73.0,90.0,72.0,84.0,50.0,73.0,18.0,49.0,45.0,97.0,20.0,87.0,50.0,19.0,23.0,87.0,33.0,89.0,87.0,17.0,2.0,84.0,1.0,11.0,68.0,5.0,58.0,7.0,87.0,98.0,50.0,92.0,67.0,82.0,82.0,95.0,,,,,,,,,
List_271,meanList,23,31.0,13.0,14.0,29.0,1638.2118539582075,82.0,79.0,33.0,43.0,83.0,61.0,40.0,31.0,92.0,33.0,38.0,72.0,57.0,87.0,35.0,18.0,77.0,51.0,37.0,25.0,17.0,100.0,19.0,78.0,21.0,,,,,,,,,,,,,,,,,,,,
List_272,meanList,71,9.0,77.0,57.0,48.0,39.3560365402116,88.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_273,sumList,9,45.0,24.0,99.0,26.0,21.15885467640618,6.0,63.0,3.0,6.0,99.0,68.0,63.0,75.0,15.0,7.0,9.0,9.0,31.0,64.0,72.0,6.0,72.0,45.0,25.0,24.0,47.0,78.0,54.0,50.0,84.0,54.0,63.0,97.0,,,,,,,,,,,,,,,,,
List_274,sumList,30,31.0,71.0,91.0,45.0,733.6108860450397,59.0,10.0,4.0,54.0,71.0,70.0,8.0,28.0,40.0,69.0,9.0,92.0,31.0,69.0,16.0,74.0,21.0,33.0,19.0,9.0,38.0,30.0,92.0,54.0,38.0,33.0,93.0,23.0,50.0,62.0,17.0,63.0,60.0,74.0,21.0,98.0,,,,,,,,,
List_275,meanList,14,60.0,8.0,28.0,86.0,-703.732759153387,96.0,97.0,30.0,86.0,26.0,62.0,21.0,33.0,38.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_276,stdList,66,52.0,11.0,96.0,94.0,-45.62257345041811,92.0,50.0,52.0,50.0,52.0,94.0,31.0,91.0,39.0,37.0,70.0,38.0,9.0,40.0,84.0,95.0,24.0,33.0,22.0,95.0,79.0,96.0,,,,,,,,,,,,,,,,,,,,,,,
List_277,stdList,14,91.0,15.0,50.0,78.0,-11.230061582487545,46.0,30.0,92.0,39.0,39.0,46.0,88.0,15.0,22.0,12.0,73.0,41.0,29.0,67.0,72.0,85.0,77.0,20.0,7.0,47.0,4.0,57.0,22.0,53.0,24.0,76.0,7.0,99.0,53.0,45.0,76.0,68.0,32.0,52.0,46.0,55.0,19.0,23.0,45.0,20.0,75.0,42.0,34.0,,
List_278,stdList,26,5.0,58.0,50.0,35.0,71.03586078163148,31.0,38.0,91.0,5.0,85.0,84.0,78.0,31.0,32.0,54.0,31.0,18.0,94.0,57.0,30.0,86.0,71.0,59.0,89.0,1.0,63.0,48.0,75.0,24.0,60.0,73.0,18.0,5.0,82.0,35.0,85.0,73.0,70.0,77.0,46.0,59.0,,,,,,,,,
List_279,stdList,77,71.0,16.0,51.0,,22.082819251882945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_280,meanList,85,34.0,81.0,4.0,57.0,130.4617074584517,14.0,53.0,46.0,73.0,46.0,66.0,26.0,26.0,24.0,2.0,87.0,94.0,15.0,88.0,87.0,39.0,30.0,56.0,82.0,19.0,73.0,75.0,97.0,91.0,25.0,77.0,73.0,86.0,,,,,,,,,,,,,,,,,
List_281,meanList,71,73.0,37.0,14.0,8.0,-50.838187239071736,59.0,25.0,69.0,22.0,89.0,35.0,61.0,32.0,62.0,96.0,23.0,49.0,100.0,14.0,94.0,93.0,25.0,71.0,52.0,70.0,55.0,88.0,13.0,7.0,53.0,2.0,37.0,26.0,87.0,46.0,41.0,84.0,55.0,61.0,86.0,26.0,39.0,54.0,,,,,,,
List_282,sumList,69,9.0,74.0,99.0,44.0,-516.6017089513138,44.0,41.0,24.0,57.0,39.0,100.0,88.0,34.0,65.0,16.0,46.0,8.0,74.0,43.0,49.0,25.0,53.0,62.0,71.0,22.0,64.0,11.0,97.0,95.0,95.0,76.0,18.0,20.0,23.0,12.0,19.0,18.0,87.0,40.0,33.0,98.0,34.0,72.0,,,,,,,
List_283,stdList,69,36.0,16.0,31.0,73.0,753.2704434838802,45.0,23.0,14.0,82.0,95.0,61.0,66.0,60.0,79.0,85.0,17.0,31.0,39.0,97.0,68.0,31.0,49.0,100.0,18.0,37.0,17.0,71.0,37.0,89.0,,,,,,,,,,,,,,,,,,,,,
List_284,sumList,49,61.0,29.0,88.0,25.0,-10.349289197853016,38.0,39.0,11.0,42.0,97.0,82.0,51.0,92.0,60.0,39.0,50.0,89.0,87.0,73.0,49.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_285,meanList,100,78.0,20.0,85.0,47.0,1.605725286410505,84.0,12.0,61.0,97.0,67.0,2.0,57.0,24.0,27.0,96.0,52.0,83.0,49.0,48.0,38.0,34.0,85.0,95.0,51.0,51.0,15.0,51.0,59.0,,,,,,,,,,,,,,,,,,,,,,
List_286,stdList,59,42.0,43.0,73.0,72.0,-455.46683692867714,94.0,22.0,61.0,71.0,80.0,96.0,32.0,59.0,53.0,32.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_287,meanList,97,77.0,58.0,7.0,21.0,21.26354651207873,69.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_288,meanList,18,14.0,6.0,4.0,71.0,-9.973440312531896,10.0,9.0,12.0,35.0,72.0,80.0,96.0,65.0,23.0,78.0,63.0,28.0,50.0,74.0,83.0,20.0,20.0,95.0,4.0,75.0,,,,,,,,,,,,,,,,,,,,,,,,,
List_289,stdList,90,53.0,1.0,62.0,77.0,41.472867095668065,10.0,13.0,89.0,47.0,7.0,41.0,57.0,52.0,37.0,66.0,10.0,98.0,13.0,81.0,41.0,37.0,14.0,19.0,14.0,64.0,56.0,14.0,49.0,86.0,58.0,88.0,98.0,32.0,79.0,,,,,,,,,,,,,,,,
List_290,meanList,60,75.0,91.0,2.0,5.0,299.8928907395222,45.0,29.0,87.0,41.0,64.0,34.0,11.0,9.0,75.0,88.0,97.0,75.0,16.0,89.0,16.0,48.0,29.0,68.0,26.0,62.0,26.0,39.0,5.0,21.0,6.0,88.0,73.0,6.0,32.0,100.0,38.0,70.0,3.0,12.0,,,,,,,,,,,
List_291,meanList,7,67.0,49.0,41.0,95.0,62.954741362137426,17.0,22.0,57.0,80.0,57.0,53.0,80.0,32.0,92.0,85.0,14.0,8.0,83.0,59.0,11.0,2.0,13.0,39.0,20.0,42.0,81.0,53.0,59.0,37.0,81.0,20.0,31.0,96.0,8.0,20.0,11.0,83.0,70.0,95.0,45.0,33.0,71.0,79.0,62.0,57.0,42.0,73.0,,,
List_292,meanList,57,44.0,82.0,47.0,9.0,67.30645192878703,26.0,55.0,14.0,80.0,64.0,68.0,78.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_293,stdList,12,14.0,13.0,99.0,83.0,-18.833278473064517,14.0,41.0,75.0,53.0,1.0,97.0,97.0,65.0,47.0,51.0,88.0,53.0,82.0,83.0,75.0,10.0,6.0,20.0,55.0,16.0,31.0,62.0,94.0,61.0,2.0,86.0,57.0,36.0,10.0,2.0,14.0,33.0,14.0,2.0,31.0,62.0,79.0,76.0,9.0,99.0,23.0,79.0,,,
List_294,stdList,75,25.0,5.0,97.0,97.0,44.98523814149914,26.0,100.0,93.0,24.0,55.0,75.0,58.0,22.0,19.0,91.0,97.0,65.0,9.0,48.0,25.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_295,meanList,27,25.0,63.0,25.0,51.0,-62.70297872200587,31.0,23.0,89.0,73.0,30.0,63.0,25.0,14.0,50.0,15.0,28.0,58.0,50.0,89.0,37.0,83.0,39.0,47.0,27.0,73.0,69.0,41.0,55.0,35.0,51.0,,,,,,,,,,,,,,,,,,,,
List_296,sumList,56,17.0,64.0,,,9.333347676928325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_297,meanList,63,86.0,93.0,18.0,2.0,63.34631913185254,40.0,5.0,19.0,24.0,70.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_298,meanList,72,10.0,42.0,4.0,55.0,247.73846208693158,64.0,63.0,28.0,52.0,100.0,83.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_299,meanList,48,26.0,70.0,7.0,71.0,46.364759689738115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_300,sumList,19,63.0,50.0,13.0,18.0,-46.55679484036445,8.0,46.0,74.0,76.0,72.0,61.0,29.0,40.0,21.0,53.0,8.0,89.0,84.0,39.0,59.0,41.0,96.0,60.0,11.0,57.0,37.0,81.0,80.0,73.0,59.0,89.0,54.0,44.0,76.0,15.0,70.0,43.0,1.0,88.0,11.0,47.0,77.0,2.0,99.0,35.0,61.0,61.0,7.0,14.0,31.0
List_301,sumList,69,34.0,24.0,76.0,29.0,321.4961132967994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_302,sumList,62,83.0,1.0,75.0,39.0,34.8617366254306,54.0,9.0,55.0,24.0,97.0,33.0,87.0,56.0,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_303,stdList,45,62.0,62.0,41.0,11.0,-11.387452943919083,79.0,61.0,25.0,47.0,33.0,16.0,23.0,64.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_304,meanList,4,44.0,57.0,,,25.47331328588491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_305,stdList,95,28.0,36.0,96.0,86.0,1381.1326516592505,55.0,26.0,75.0,17.0,2.0,12.0,52.0,36.0,3.0,8.0,28.0,51.0,96.0,29.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_306,stdList,100,59.0,23.0,5.0,12.0,-16.12105869423743,83.0,21.0,50.0,57.0,7.0,52.0,67.0,18.0,8.0,50.0,48.0,38.0,39.0,77.0,67.0,22.0,19.0,10.0,32.0,8.0,77.0,87.0,17.0,4.0,74.0,9.0,71.0,39.0,,,,,,,,,,,,,,,,,
List_307,stdList,60,46.0,31.0,100.0,42.0,-8.304846302445762,85.0,11.0,20.0,32.0,74.0,100.0,73.0,33.0,19.0,88.0,61.0,96.0,61.0,4.0,55.0,34.0,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_308,stdList,72,41.0,86.0,34.0,65.0,-16.5853523953112,71.0,7.0,82.0,62.0,83.0,88.0,70.0,68.0,55.0,89.0,13.0,88.0,66.0,67.0,75.0,18.0,74.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_309,meanList,91,55.0,98.0,60.0,86.0,61.27346853913144,68.0,88.0,3.0,1.0,93.0,7.0,68.0,63.0,81.0,53.0,24.0,7.0,37.0,4.0,9.0,21.0,37.0,56.0,46.0,74.0,14.0,42.0,81.0,53.0,5.0,45.0,25.0,91.0,56.0,89.0,87.0,67.0,71.0,70.0,65.0,16.0,63.0,49.0,,,,,,,
List_310,stdList,93,13.0,75.0,79.0,15.0,33.67355322141324,63.0,61.0,92.0,97.0,57.0,38.0,48.0,43.0,80.0,17.0,70.0,34.0,25.0,67.0,31.0,89.0,72.0,71.0,85.0,78.0,10.0,27.0,86.0,79.0,46.0,53.0,79.0,87.0,55.0,92.0,63.0,37.0,20.0,76.0,31.0,31.0,96.0,76.0,100.0,82.0,93.0,24.0,83.0,,
List_311,stdList,27,76.0,49.0,3.0,,-34.21636676691644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_312,meanList,87,4.0,85.0,25.0,86.0,37.91945993553809,67.0,71.0,92.0,1.0,75.0,93.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_313,stdList,24,34.0,15.0,63.0,38.0,-11.130136901409953,7.0,67.0,33.0,59.0,98.0,62.0,46.0,100.0,70.0,96.0,45.0,13.0,42.0,14.0,100.0,81.0,37.0,44.0,36.0,30.0,37.0,61.0,19.0,18.0,,,,,,,,,,,,,,,,,,,,,
List_314,stdList,33,60.0,38.0,6.0,87.0,34.65344827972307,78.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_315,stdList,79,22.0,34.0,27.0,92.0,887.1700654071224,70.0,97.0,46.0,33.0,30.0,57.0,71.0,33.0,4.0,12.0,52.0,35.0,8.0,29.0,77.0,68.0,21.0,87.0,64.0,3.0,46.0,20.0,29.0,49.0,16.0,78.0,69.0,7.0,84.0,83.0,3.0,11.0,72.0,46.0,63.0,64.0,55.0,27.0,53.0,,,,,,
List_316,sumList,18,69.0,11.0,,,-0.9677525859366151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_317,stdList,48,50.0,36.0,97.0,46.0,-13.953047043483457,100.0,73.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_318,sumList,95,16.0,73.0,53.0,75.0,-1914.80964640678,91.0,12.0,33.0,58.0,20.0,5.0,79.0,2.0,34.0,61.0,40.0,52.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_319,stdList,35,92.0,56.0,72.0,51.0,22.07447753758574,68.0,94.0,90.0,37.0,55.0,47.0,18.0,9.0,12.0,13.0,26.0,73.0,43.0,21.0,80.0,35.0,82.0,97.0,27.0,15.0,12.0,54.0,98.0,28.0,61.0,,,,,,,,,,,,,,,,,,,,
List_320,meanList,15,19.0,40.0,47.0,84.0,3679.0028786492876,79.0,82.0,34.0,73.0,28.0,5.0,90.0,83.0,83.0,98.0,96.0,16.0,91.0,54.0,81.0,12.0,71.0,78.0,91.0,34.0,55.0,61.0,8.0,96.0,38.0,96.0,94.0,61.0,14.0,53.0,22.0,94.0,56.0,55.0,92.0,68.0,26.0,,,,,,,,
List_321,stdList,8,68.0,,,,-11.755039801653748,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_322,meanList,57,83.0,44.0,36.0,69.0,29.70299791498228,38.0,61.0,43.0,30.0,86.0,69.0,34.0,94.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_323,stdList,24,95.0,81.0,49.0,69.0,19.78359276050412,88.0,27.0,22.0,94.0,57.0,4.0,39.0,97.0,75.0,51.0,33.0,85.0,58.0,64.0,50.0,95.0,29.0,15.0,35.0,23.0,12.0,4.0,31.0,93.0,16.0,66.0,5.0,84.0,69.0,64.0,11.0,93.0,81.0,80.0,,,,,,,,,,,
List_324,stdList,62,75.0,64.0,23.0,4.0,20.52629733212356,73.0,67.0,59.0,33.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_325,meanList,8,6.0,70.0,16.0,20.0,-1.3366372621871814,68.0,96.0,72.0,7.0,8.0,79.0,63.0,44.0,72.0,43.0,50.0,5.0,54.0,56.0,100.0,31.0,78.0,6.0,43.0,31.0,98.0,47.0,20.0,37.0,36.0,92.0,90.0,87.0,74.0,60.0,19.0,21.0,31.0,39.0,99.0,7.0,,,,,,,,,
List_326,meanList,68,11.0,63.0,44.0,13.0,52.93984244176972,65.0,5.0,74.0,64.0,48.0,24.0,70.0,81.0,24.0,54.0,86.0,23.0,89.0,69.0,97.0,21.0,77.0,51.0,67.0,7.0,51.0,30.0,46.0,,,,,,,,,,,,,,,,,,,,,,
List_327,meanList,96,20.0,11.0,44.0,73.0,4.4722188074835785,13.0,21.0,13.0,71.0,94.0,30.0,46.0,13.0,39.0,31.0,42.0,58.0,14.0,80.0,17.0,20.0,98.0,5.0,2.0,76.0,12.0,74.0,29.0,44.0,36.0,19.0,73.0,52.0,49.0,64.0,44.0,88.0,27.0,53.0,6.0,40.0,94.0,24.0,54.0,98.0,25.0,33.0,,,
List_328,meanList,70,26.0,98.0,18.0,30.0,15.510614727347981,6.0,34.0,63.0,68.0,25.0,76.0,87.0,84.0,95.0,61.0,99.0,92.0,33.0,10.0,1.0,83.0,75.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_329,stdList,81,87.0,88.0,26.0,20.0,-393.08452031266205,67.0,29.0,86.0,84.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_330,sumList,70,61.0,30.0,52.0,75.0,38.66934361685787,26.0,42.0,58.0,62.0,94.0,98.0,89.0,97.0,44.0,88.0,50.0,86.0,71.0,23.0,44.0,36.0,64.0,55.0,18.0,33.0,46.0,96.0,18.0,49.0,95.0,25.0,,,,,,,,,,,,,,,,,,,
List_331,meanList,84,41.0,95.0,86.0,9.0,-315.87246748248214,70.0,82.0,20.0,69.0,50.0,20.0,84.0,45.0,90.0,19.0,95.0,53.0,47.0,76.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_332,meanList,39,18.0,20.0,84.0,13.0,0.8427397870867129,40.0,79.0,30.0,21.0,96.0,31.0,82.0,88.0,13.0,2.0,84.0,39.0,47.0,86.0,65.0,77.0,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_333,meanList,80,97.0,70.0,88.0,56.0,-38.58192355162179,12.0,25.0,40.0,93.0,72.0,50.0,80.0,19.0,81.0,81.0,56.0,66.0,15.0,46.0,58.0,32.0,19.0,87.0,50.0,39.0,79.0,78.0,,,,,,,,,,,,,,,,,,,,,,,
List_334,meanList,45,32.0,60.0,66.0,39.0,690.0113785813663,21.0,89.0,34.0,32.0,83.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_335,meanList,79,83.0,77.0,20.0,30.0,-22.62659959649642,67.0,96.0,89.0,77.0,12.0,53.0,10.0,18.0,55.0,82.0,87.0,35.0,73.0,4.0,48.0,24.0,12.0,19.0,58.0,88.0,45.0,31.0,53.0,89.0,24.0,6.0,98.0,7.0,34.0,53.0,98.0,22.0,41.0,32.0,86.0,53.0,44.0,79.0,85.0,90.0,20.0,25.0,68.0,14.0,12.0
List_336,meanList,42,58.0,49.0,11.0,90.0,27.591100474309783,6.0,24.0,45.0,72.0,86.0,31.0,20.0,81.0,37.0,42.0,80.0,19.0,20.0,18.0,16.0,27.0,51.0,27.0,60.0,55.0,9.0,98.0,96.0,46.0,46.0,46.0,100.0,57.0,6.0,69.0,,,,,,,,,,,,,,,
List_337,sumList,56,83.0,10.0,94.0,58.0,112.55301687723308,53.0,49.0,63.0,14.0,75.0,4.0,69.0,86.0,30.0,57.0,62.0,5.0,39.0,30.0,100.0,95.0,7.0,99.0,11.0,15.0,49.0,66.0,71.0,87.0,97.0,51.0,75.0,30.0,77.0,81.0,26.0,58.0,78.0,51.0,39.0,85.0,7.0,12.0,72.0,94.0,62.0,5.0,,,
List_338,sumList,68,62.0,41.0,23.0,94.0,120.42004029202563,11.0,2.0,82.0,66.0,87.0,59.0,90.0,26.0,81.0,37.0,28.0,98.0,77.0,24.0,18.0,13.0,27.0,13.0,51.0,77.0,74.0,17.0,71.0,66.0,45.0,,,,,,,,,,,,,,,,,,,,
List_339,sumList,5,21.0,57.0,52.0,40.0,786.8693937184905,40.0,17.0,38.0,100.0,68.0,44.0,55.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_340,stdList,52,40.0,45.0,40.0,53.0,1145.5861609308106,50.0,44.0,32.0,63.0,5.0,32.0,88.0,60.0,38.0,8.0,23.0,37.0,80.0,40.0,68.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
List_341,sumList,32,50.0,17.0,70.0,7.0,9.201965009519599,45.0,58.0,82.0,59.0,100.0,63.0,94.0,43.0,61.0,47.0,97.0,59.0,40.0,12.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
